File name prefix       : /home/pi/ad2_daq/data/20200705/sub0000
Sampling Frequency (Hz): 1e+07
Trigger Level (V)      : -1
Trigger Type           : Falling Negative
Trigger Position (s)   : 0.0003
Number of Events       : 10000
Rate(Hz) 1560 1593955367 inf
Rate(Hz) 1570 1593955367 inf
Rate(Hz) 1580 1593955367 inf
Rate(Hz) 1590 1593955367 inf
Rate(Hz) 1600 1593955367 inf
Rate(Hz) 1610 1593955367 inf
Rate(Hz) 1620 1593955368 10
Rate(Hz) 1630 1593955368 inf
Rate(Hz) 1640 1593955368 inf
Rate(Hz) 1650 1593955368 inf
Rate(Hz) 1660 1593955368 inf
Rate(Hz) 1670 1593955368 inf
Rate(Hz) 1680 1593955368 inf
Rate(Hz) 1690 1593955368 inf
Rate(Hz) 1700 1593955368 inf
Rate(Hz) 1710 1593955368 inf
Rate(Hz) 1720 1593955368 inf
Rate(Hz) 1730 1593955368 inf
Rate(Hz) 1740 1593955368 inf
Rate(Hz) 1750 1593955368 inf
Rate(Hz) 1760 1593955368 inf
Rate(Hz) 1770 1593955369 10
Rate(Hz) 1780 1593955369 inf
Rate(Hz) 1790 1593955369 inf
Rate(Hz) 1800 1593955369 inf
Rate(Hz) 1810 1593955369 inf
Rate(Hz) 1820 1593955369 inf
Rate(Hz) 1830 1593955369 inf
Rate(Hz) 1840 1593955369 inf
Rate(Hz) 1850 1593955369 inf
Rate(Hz) 1860 1593955369 inf
Rate(Hz) 1870 1593955369 inf
Rate(Hz) 1880 1593955369 inf
Rate(Hz) 1890 1593955369 inf
Rate(Hz) 1900 1593955369 inf
Rate(Hz) 1910 1593955369 inf
Rate(Hz) 1920 1593955370 10
Rate(Hz) 1930 1593955370 inf
Rate(Hz) 1940 1593955370 inf
Rate(Hz) 1950 1593955370 inf
Rate(Hz) 1960 1593955370 inf
Rate(Hz) 1970 1593955370 inf
Rate(Hz) 1980 1593955370 inf
Rate(Hz) 1990 1593955370 inf
Rate(Hz) 2000 1593955370 inf
Rate(Hz) 2010 1593955370 inf
Rate(Hz) 2020 1593955370 inf
Rate(Hz) 2030 1593955370 inf
Rate(Hz) 2040 1593955370 inf
Rate(Hz) 2050 1593955370 inf
Rate(Hz) 2060 1593955370 inf
Rate(Hz) 2070 1593955371 10
Rate(Hz) 2080 1593955371 inf
Rate(Hz) 2090 1593955371 inf
Rate(Hz) 2100 1593955371 inf
